Protein Group	SubGroup	Protein	Protein ID	Entry Name	Gene Names	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Unique Stripped Peptides	Summarized Total Spectral Count	Summarized Unique Spectral Count	Summarized Razor Spectral Count	qx017084_EGFP_1 Total Spectral Count	qx017084_EGFP_1 Unique Spectral Count	qx017084_EGFP_1 Razor Spectral Count	qx017084_EGFP_1 Total Intensity	qx017084_EGFP_1 Unique Intensity	qx017084_EGFP_1 Razor Intensity	qx017098_EGFP_2 Total Spectral Count	qx017098_EGFP_2 Unique Spectral Count	qx017098_EGFP_2 Razor Spectral Count	qx017098_EGFP_2 Total Intensity	qx017098_EGFP_2 Unique Intensity	qx017098_EGFP_2 Razor Intensity	qx017108_EGFP_4 Total Spectral Count	qx017108_EGFP_4 Unique Spectral Count	qx017108_EGFP_4 Razor Spectral Count	qx017108_EGFP_4 Total Intensity	qx017108_EGFP_4 Unique Intensity	qx017108_EGFP_4 Razor Intensity	qx017176_NSP2_1 Total Spectral Count	qx017176_NSP2_1 Unique Spectral Count	qx017176_NSP2_1 Razor Spectral Count	qx017176_NSP2_1 Total Intensity	qx017176_NSP2_1 Unique Intensity	qx017176_NSP2_1 Razor Intensity	qx017177_NSP2_2 Total Spectral Count	qx017177_NSP2_2 Unique Spectral Count	qx017177_NSP2_2 Razor Spectral Count	qx017177_NSP2_2 Total Intensity	qx017177_NSP2_2 Unique Intensity	qx017177_NSP2_2 Razor Intensity	qx017178_NSP2_3 Total Spectral Count	qx017178_NSP2_3 Unique Spectral Count	qx017178_NSP2_3 Razor Spectral Count	qx017178_NSP2_3 Total Intensity	qx017178_NSP2_3 Unique Intensity	qx017178_NSP2_3 Razor Intensity	Indistinguishable Proteins
627	a	sp|Q9UHX1|PUF60_HUMAN	Q9UHX1	PUF60_HUMAN	PUF60	559	41	Homo sapiens OX=9606	1:Experimental evidence at protein level	Poly(U)-binding-splicing factor PUF60 	1	0.999	18	62	62	62	12	12	12	2532442	2532442	2532442	13	13	13	5967338	5967338	5967338	11	11	11	4182332	4182332	4182332	8	8	8	2084574	2084574	2084574	6	6	6	1591095	1591095	1591095	12	12	12	5153016	5153016	5153016	
628	a	sp|Q9UI43|MRM2_HUMAN	Q9UI43	MRM2_HUMAN	MRM2	246	45	Homo sapiens OX=9606	1:Experimental evidence at protein level	"rRNA methyltransferase 2, mitochondrial "	1	0.999	14	51	51	51	13	13	13	5600187	5600187	5600187	11	11	11	17707925	17707925	17707925	6	6	6	3836508	3836508	3836508	6	6	6	2812134	2812134	2812134	12	12	12	4648686	4648686	4648686	3	3	3	2674569	2674569	2674569	
629	a	sp|Q9UIG0|BAZ1B_HUMAN	Q9UIG0	BAZ1B_HUMAN	BAZ1B	1483	4	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tyrosine-protein kinase BAZ1B 	1	0.999	6	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	1645364	1645364	1645364	0	0	0	0	0	0	0	0	0	0	0	0	
630	a	sp|Q9UII2|ATIF1_HUMAN	Q9UII2	ATIF1_HUMAN	ATP5IF1	106	35	Homo sapiens OX=9606	1:Experimental evidence at protein level	"ATPase inhibitor, mitochondrial "	1	0.999	9	33	33	33	4	4	4	8288268	8288268	8288268	6	6	6	60899662	60899662	60899662	7	7	7	361006884	361006884	361006884	4	4	4	18020518	18020518	18020518	4	4	4	10639620	10639620	10639620	8	8	8	62153451	62153451	62153451	
631	a	sp|Q9UJV9|DDX41_HUMAN	Q9UJV9	DDX41_HUMAN	DDX41	622	32	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX41 	1	0.999	16	41	41	41	6	6	6	1668500	1668500	1668500	6	6	6	2988942	2988942	2988942	5	5	5	2242426	2242426	2242426	8	8	8	1385677	1385677	1385677	8	8	8	1511802	1511802	1511802	8	8	8	2878950	2878950	2878950	
632	a	sp|Q9UKD2|MRT4_HUMAN	Q9UKD2	MRT4_HUMAN	MRTO4	239	18	Homo sapiens OX=9606	1:Experimental evidence at protein level	mRNA turnover protein 4 homolog 	1	0.999	4	4	4	4	0	0	0	0	0	0	2	2	2	1289454	1289454	1289454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	858804	858804	858804	
633	a	sp|Q9UKT4|FBX5_HUMAN	Q9UKT4	FBX5_HUMAN	FBXO5	447	10	Homo sapiens OX=9606	1:Experimental evidence at protein level	F-box only protein 5 	1	0.999	4	5	5	5	2	2	2	994640	994640	994640	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	599310	599310	599310	1	1	1	445338	445338	445338	1	1	1	442823	442823	442823	
634	a	sp|Q9UKV3|ACINU_HUMAN	Q9UKV3	ACINU_HUMAN	ACIN1	1341	11	Homo sapiens OX=9606	1:Experimental evidence at protein level	Apoptotic chromatin condensation inducer in the nucleus 	1	0.999	10	14	14	14	2	2	2	621207	621207	621207	4	4	4	1283402	1283402	1283402	0	0	0	0	0	0	8	8	8	1861695	1861695	1861695	0	0	0	0	0	0	0	0	0	0	0	0	
635	a	sp|Q9ULC4|MCTS1_HUMAN	Q9ULC4	MCTS1_HUMAN	MCTS1	181	48	Homo sapiens OX=9606	1:Experimental evidence at protein level	Malignant T-cell-amplified sequence 1 	1	0.999	7	14	14	14	0	0	0	0	0	0	5	5	5	5486494	5486494	5486494	0	0	0	0	0	0	1	1	1	140906	140906	140906	1	1	1	102244	102244	102244	7	7	7	4587092	4587092	4587092	
183	a	sp|P31930|QCR1_HUMAN	P31930	QCR1_HUMAN	UQCRC1	480	12	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Cytochrome b-c1 complex subunit 1, mitochondrial "	1	0.999	5	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	962086	962086	962086	3	3	3	926824	926824	926824	5	5	5	1714989	1714989	1714989	
637	a	sp|Q9UMS0|NFU1_HUMAN	Q9UMS0	NFU1_HUMAN	NFU1	254	11	Homo sapiens OX=9606	1:Experimental evidence at protein level	"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial "	1	0.999	2	5	5	5	0	0	0	0	0	0	1	1	1	257753	257753	257753	0	0	0	0	0	0	2	2	2	557812	557812	557812	1	1	1	0	0	0	1	1	1	146476	146476	146476	
638	a	sp|Q9UMS4|PRP19_HUMAN	Q9UMS4	PRP19_HUMAN	PRPF19	504	30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-processing factor 19 	1	0.999	8	14	14	14	1	1	1	1022938	1022938	1022938	4	4	4	1372619	1372619	1372619	2	2	2	467412	467412	467412	5	5	5	1938652	1938652	1938652	2	2	2	497546	497546	497546	0	0	0	0	0	0	
639	a	sp|Q9UMY1|NOL7_HUMAN	Q9UMY1	NOL7_HUMAN	NOL7	257	16	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar protein 7 	1	0.999	3	7	7	7	3	3	3	877350	877350	877350	0	0	0	0	0	0	1	1	1	219760	219760	219760	2	2	2	529688	529688	529688	0	0	0	0	0	0	1	1	1	380461	380461	380461	
640	a	sp|Q9UN86|G3BP2_HUMAN	Q9UN86	G3BP2_HUMAN	G3BP2	482	8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras GTPase-activating protein-binding protein 2 	1	0.999	2	2	2	2	0	0	0	0	0	0	1	1	1	729788	729788	729788	1	1	1	257675	257675	257675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
641	a	sp|Q9UNQ2|DIM1_HUMAN	Q9UNQ2	DIM1_HUMAN	DIMT1	313	15	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable dimethyladenosine transferase 	1	0.999	4	9	9	9	1	1	1	339410	339410	339410	1	1	1	484443	484443	484443	2	2	2	1919740	1919740	1919740	1	1	1	393595	393595	393595	1	1	1	315115	315115	315115	3	3	3	982839	982839	982839	
642	a	sp|Q9UNZ5|L10K_HUMAN	Q9UNZ5	L10K_HUMAN	C19orf53	99	27	Homo sapiens OX=9606	1:Experimental evidence at protein level	Leydig cell tumor 10 kDa protein homolog 	1	0.999	7	15	15	15	3	3	3	10074816	10074816	10074816	3	3	3	7225394	7225394	7225394	3	3	3	23367551	23367551	23367551	2	2	2	5585634	5585634	5585634	2	2	2	9222428	9222428	9222428	2	2	2	7269515	7269515	7269515	
643	a	sp|Q9UQ35|SRRM2_HUMAN	Q9UQ35	SRRM2_HUMAN	SRRM2	2752	8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/arginine repetitive matrix protein 2 	1	0.999	17	41	41	41	9	9	9	4997236	4997236	4997236	11	11	11	8732864	8732864	8732864	8	8	8	5221411	5221411	5221411	6	6	6	4171208	4171208	4171208	5	5	5	7128312	7128312	7128312	2	2	2	4900554	4900554	4900554	
644	a	sp|Q9UQ80|PA2G4_HUMAN	Q9UQ80	PA2G4_HUMAN	PA2G4	394	56	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proliferation-associated protein 2G4 	1	0.999	20	36	36	36	1	1	1	0	0	0	15	15	15	9142768	9142768	9142768	1	1	1	732125	732125	732125	1	1	1	696666	696666	696666	1	1	1	455234	455234	455234	17	17	17	7299572	7299572	7299572	
645	a	sp|Q9Y224|RTRAF_HUMAN	Q9Y224	RTRAF_HUMAN	RTRAF	244	24	Homo sapiens OX=9606	1:Experimental evidence at protein level	"RNA transcription, translation and transport factor protein "	1	0.999	5	10	10	10	2	2	2	919354	919354	919354	1	1	1	521385	521385	521385	1	1	1	271578	271578	271578	2	2	2	1966617	1966617	1966617	1	1	1	124783	124783	124783	3	3	3	1478838	1478838	1478838	
646	a	sp|Q9Y230|RUVB2_HUMAN	Q9Y230	RUVB2_HUMAN	RUVBL2	463	12	Homo sapiens OX=9606	1:Experimental evidence at protein level	RuvB-like 2 	1	0.999	4	7	7	7	3	3	3	540403	540403	540403	3	3	3	894585	894585	894585	0	0	0	0	0	0	1	1	1	706002	706002	706002	0	0	0	0	0	0	0	0	0	0	0	0	
647	a	sp|Q9Y237|PIN4_HUMAN	Q9Y237	PIN4_HUMAN	PIN4	131	55	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 	1	0.999	6	40	40	40	6	6	6	6444461	6444461	6444461	7	7	7	12586547	12586547	12586547	10	10	10	4521410	4521410	4521410	5	5	5	4635615	4635615	4635615	3	3	3	2158855	2158855	2158855	9	9	9	16423058	16423058	16423058	
648	a	sp|Q9Y265|RUVB1_HUMAN	Q9Y265	RUVB1_HUMAN	RUVBL1	456	19	Homo sapiens OX=9606	1:Experimental evidence at protein level	RuvB-like 1 	1	0.999	6	8	8	8	2	2	2	430272	430272	430272	1	1	1	485974	485974	485974	1	1	1	189407	189407	189407	3	3	3	1004403	1004403	1004403	1	1	1	240159	240159	240159	0	0	0	0	0	0	
127	a	sp|P16435|NCPR_HUMAN	P16435	NCPR_HUMAN	POR	677	17	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADPH--cytochrome P450 reductase 	1	0.999	8	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	950694	950694	950694	4	4	4	1436649	1436649	1436649	3	3	3	1020726	1020726	1020726	
650	a	sp|Q9Y285|SYFA_HUMAN	Q9Y285	SYFA_HUMAN	FARSA	508	16	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phenylalanine--tRNA ligase alpha subunit 	1	0.999	5	11	11	11	3	3	3	989730	989730	989730	2	2	2	719659	719659	719659	2	2	2	522030	522030	522030	2	2	2	533750	533750	533750	1	1	1	302264	302264	302264	1	1	1	274785	274785	274785	
651	a	sp|Q9Y295|DRG1_HUMAN	Q9Y295	DRG1_HUMAN	DRG1	367	43	Homo sapiens OX=9606	1:Experimental evidence at protein level	Developmentally-regulated GTP-binding protein 1 	1	0.999	14	24	24	24	0	0	0	0	0	0	4	4	4	5198308	5198308	5198308	4	4	4	3531500	3531500	3531500	1	1	1	305540	305540	305540	2	2	2	724899	724899	724899	13	13	13	3982431	3982431	3982431	
652	a	sp|Q9Y2R4|DDX52_HUMAN	Q9Y2R4	DDX52_HUMAN	DDX52	599	18	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX52 	1	0.999	7	19	19	19	1	1	1	170335	170335	170335	1	1	1	285869	285869	285869	4	4	4	1301742	1301742	1301742	3	3	3	862107	862107	862107	5	5	5	1247985	1247985	1247985	5	5	5	1086111	1086111	1086111	
653	a	sp|Q9Y2S6|TMA7_HUMAN	Q9Y2S6	TMA7_HUMAN	TMA7	64	37	Homo sapiens OX=9606	1:Experimental evidence at protein level	Translation machinery-associated protein 7 	1	0.999	5	35	35	35	5	5	5	26646394	26646394	26646394	6	6	6	69131791	69131791	69131791	6	6	6	54854985	54854985	54854985	5	5	5	24131386	24131386	24131386	5	5	5	16143228	16143228	16143228	8	8	8	77493986	77493986	77493986	
654	a	sp|Q9Y2V2|CHSP1_HUMAN	Q9Y2V2	CHSP1_HUMAN	CARHSP1	147	44	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calcium-regulated heat-stable protein 1 	1	0.999	4	15	15	15	3	3	3	2681212	2681212	2681212	1	1	1	1215065	1215065	1215065	3	3	3	1750487	1750487	1750487	3	3	3	1873908	1873908	1873908	2	2	2	1531252	1531252	1531252	3	3	3	1471523	1471523	1471523	
655	a	sp|Q9Y2W2|WBP11_HUMAN	Q9Y2W2	WBP11_HUMAN	WBP11	641	9	Homo sapiens OX=9606	1:Experimental evidence at protein level	WW domain-binding protein 11 	1	0.999	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	522995	522995	522995	
656	a	sp|Q9Y2X3|NOP58_HUMAN	Q9Y2X3	NOP58_HUMAN	NOP58	529	23	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar protein 58 	1	0.999	9	27	27	27	4	4	4	1699099	1699099	1699099	6	6	6	2544870	2544870	2544870	3	3	3	1017689	1017689	1017689	8	8	8	2275507	2275507	2275507	3	3	3	638842	638842	638842	3	3	3	1336539	1336539	1336539	
657	a	sp|Q9Y314|NOSIP_HUMAN	Q9Y314	NOSIP_HUMAN	NOSIP	301	67	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nitric oxide synthase-interacting protein 	1	0.999	14	50	50	50	5	5	5	1541420	1541420	1541420	13	13	13	6848136	6848136	6848136	4	4	4	1923535	1923535	1923535	9	9	9	2705796	2705796	2705796	8	8	8	2939325	2939325	2939325	11	11	11	4431778	4431778	4431778	
658	a	sp|Q9Y383|LC7L2_HUMAN	Q9Y383	LC7L2_HUMAN	LUC7L2	392	48	Homo sapiens OX=9606	1:Experimental evidence at protein level	Putative RNA-binding protein Luc7-like 2 	1	0.999	26	285	222	285	47	37	47	109620752	102320970	109620752	45	36	45	201627980	140912900	201627980	47	37	47	149233324	107333294	149233324	40	30	40	276717580	240829176	276717580	54	42	54	339292412	305124586	339292412	52	40	52	471055556	424892490	471055556	
659	a	sp|Q9Y388|RBMX2_HUMAN	Q9Y388	RBMX2_HUMAN	RBMX2	322	22	Homo sapiens OX=9606	1:Experimental evidence at protein level	"RNA-binding motif protein, X-linked 2 "	1	0.999	7	29	29	29	4	4	4	13705790	13705790	13705790	4	4	4	5922720	5922720	5922720	5	5	5	4344013	4344013	4344013	4	4	4	3082017	3082017	3082017	6	6	6	3941198	3941198	3941198	6	6	6	6862958	6862958	6862958	
660	a	sp|Q9Y3A2|UTP11_HUMAN	Q9Y3A2	UTP11_HUMAN	UTP11	253	7	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable U3 small nucleolar RNA-associated protein 11 	1	0.999	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	613520	613520	613520	0	0	0	0	0	0	0	0	0	0	0	0	
661	a	sp|Q9Y3A5|SBDS_HUMAN	Q9Y3A5	SBDS_HUMAN	SBDS	250	38	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribosome maturation protein SBDS 	1	0.999	10	21	21	21	2	2	2	2349934	2349934	2349934	9	9	9	11504850	11504850	11504850	2	2	2	1652014	1652014	1652014	0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	12131202	12131202	12131202	
662	a	sp|Q9Y3C1|NOP16_HUMAN	Q9Y3C1	NOP16_HUMAN	NOP16	178	34	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar protein 16 	1	0.999	5	16	16	16	1	1	1	179909	179909	179909	1	1	1	648697	648697	648697	3	3	3	1216141	1216141	1216141	3	3	3	1273669	1273669	1273669	4	4	4	951866	951866	951866	4	4	4	1313211	1313211	1313211	
663	a	sp|Q9Y3C6|PPIL1_HUMAN	Q9Y3C6	PPIL1_HUMAN	PPIL1	166	21	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase-like 1 	1	0.999	3	9	9	9	1	1	1	1020391	1020391	1020391	2	2	2	2416651	2416651	2416651	2	2	2	1098820	1098820	1098820	1	1	1	660546	660546	660546	1	1	1	620812	620812	620812	2	2	2	1187743	1187743	1187743	
664	a	sp|Q9Y3D2|MSRB2_HUMAN	Q9Y3D2	MSRB2_HUMAN	MSRB2	182	56	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Methionine-R-sulfoxide reductase B2, mitochondrial "	1	0.999	6	21	21	21	7	7	7	2456408	2456408	2456408	3	3	3	1881703	1881703	1881703	2	2	2	738008	738008	738008	5	5	5	2038863	2038863	2038863	2	2	2	866712	866712	866712	2	2	2	777174	777174	777174	
665	a	sp|Q9Y3E2|BOLA1_HUMAN	Q9Y3E2	BOLA1_HUMAN	BOLA1	137	58	Homo sapiens OX=9606	1:Experimental evidence at protein level	BolA-like protein 1 	1	0.999	5	9	9	9	5	5	5	5054232	5054232	5054232	0	0	0	0	0	0	2	2	2	1352334	1352334	1352334	2	2	2	834060	834060	834060	0	0	0	0	0	0	0	0	0	0	0	0	
666	a	sp|Q9Y3I0|RTCB_HUMAN	Q9Y3I0	RTCB_HUMAN	RTCB	505	27	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-splicing ligase RtcB homolog 	1	0.999	10	24	24	24	5	5	5	1601930	1601930	1601930	5	5	5	2357989	2357989	2357989	3	3	3	1068927	1068927	1068927	4	4	4	1366771	1366771	1366771	3	3	3	1179599	1179599	1179599	4	4	4	1275527	1275527	1275527	
667	a	sp|Q9Y3U8|RL36_HUMAN	Q9Y3U8	RL36_HUMAN	RPL36	105	28	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L36 	1	0.999	3	7	7	7	1	1	1	973256	973256	973256	3	3	3	3681197	3681197	3681197	1	1	1	525125	525125	525125	2	2	2	3572293	3572293	3572293	0	0	0	0	0	0	0	0	0	0	0	0	
668	a	sp|Q9Y3Y2|CHTOP_HUMAN	Q9Y3Y2	CHTOP_HUMAN	CHTOP	248	16	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chromatin target of PRMT1 protein 	1	0.999	3	5	5	5	1	1	1	592390	592390	592390	1	1	1	657295	657295	657295	0	0	0	0	0	0	3	3	3	1461095	1461095	1461095	0	0	0	0	0	0	0	0	0	0	0	0	
669	a	sp|Q9Y421|FA32A_HUMAN	Q9Y421	FA32A_HUMAN	FAM32A	112	43	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM32A 	1	0.999	6	24	24	24	3	3	3	12394457	12394457	12394457	3	3	3	20275618	20275618	20275618	4	4	4	17607071	17607071	17607071	5	5	5	9052272	9052272	9052272	5	5	5	11937000	11937000	11937000	4	4	4	8516531	8516531	8516531	
670	a	sp|Q9Y4X0|AMMR1_HUMAN	Q9Y4X0	AMMR1_HUMAN	AMMECR1	333	28	Homo sapiens OX=9606	1:Experimental evidence at protein level	AMME syndrome candidate gene 1 protein 	1	0.999	8	39	24	24	7	4	4	5174245	2466507	2466507	8	5	5	5991750	4323420	4323420	7	4	4	4880484	2099084	2099084	5	4	4	3720048	2014856	2014856	7	4	4	3219825	1864059	1864059	5	3	3	4221940	1308611	1308611	
671	a	sp|Q9Y5B9|SP16H_HUMAN	Q9Y5B9	SP16H_HUMAN	SUPT16H	1047	20	Homo sapiens OX=9606	1:Experimental evidence at protein level	FACT complex subunit SPT16 	1	0.999	20	34	33	34	6	6	6	1038406	1038406	1038406	11	11	11	3242440	3242440	3242440	0	0	0	0	0	0	17	16	17	3475908	2561804	3475908	0	0	0	0	0	0	0	0	0	0	0	0	
672	a	sp|Q9Y5L4|TIM13_HUMAN	Q9Y5L4	TIM13_HUMAN	TIMM13	95	22	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial import inner membrane translocase subunit Tim13 	1	0.999	2	5	5	5	2	2	2	683665	683665	683665	2	2	2	1286639	1286639	1286639	1	1	1	215689	215689	215689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
673	a	sp|Q9Y5S9|RBM8A_HUMAN	Q9Y5S9	RBM8A_HUMAN	RBM8A	174	17	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein 8A 	1	0.999	2	11	11	11	1	1	1	494130	494130	494130	3	3	3	1498871	1498871	1498871	3	3	3	519513	519513	519513	1	1	1	665591	665591	665591	0	0	0	0	0	0	3	3	3	710539	710539	710539	
674	a	sp|Q9Y5V0|ZN706_HUMAN	Q9Y5V0	ZN706_HUMAN	ZNF706	76	39	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 706 	1	0.999	3	17	17	17	2	2	2	797788	797788	797788	2	2	2	7927783	7927783	7927783	4	4	4	6955748	6955748	6955748	2	2	2	3373860	3373860	3373860	3	3	3	5805480	5805480	5805480	4	4	4	7321172	7321172	7321172	
675	a	sp|Q9Y5Y2|NUBP2_HUMAN	Q9Y5Y2	NUBP2_HUMAN	NUBP2	271	17	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic Fe-S cluster assembly factor NUBP2 	1	0.999	4	6	5	5	2	1	1	868454	375049	375049	2	2	2	461754	461754	461754	1	1	1	230911	230911	230911	0	0	0	0	0	0	1	1	1	271440	271440	271440	0	0	0	0	0	0	
676	a	sp|Q9Y606|TRUA_HUMAN	Q9Y606	TRUA_HUMAN	PUS1	427	15	Homo sapiens OX=9606	1:Experimental evidence at protein level	tRNA pseudouridine synthase A 	1	0.999	5	18	18	18	4	4	4	1303511	1303511	1303511	2	2	2	1165335	1165335	1165335	4	4	4	870197	870197	870197	4	4	4	1044940	1044940	1044940	2	2	2	385861	385861	385861	2	2	2	579387	579387	579387	
677	a	sp|Q9Y6V7|DDX49_HUMAN	Q9Y6V7	DDX49_HUMAN	DDX49	483	19	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX49 	1	0.999	7	10	9	9	1	1	1	605661	605661	605661	1	1	1	509565	509565	509565	4	3	3	1779183	968589	968589	1	1	1	174968	174968	174968	0	0	0	0	0	0	3	3	3	1097166	1097166	1097166	
678	a	SARS_CoV_2_N	SARS_CoV_2_N			0	0				1	0.999	22	73	72	73	0	0	0	0	0	0	0	0	0	0	0	0	73	72	73	106650418	106650418	106650418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
81	a	sp|P04844|RPN2_HUMAN	P04844	RPN2_HUMAN	RPN2	631	20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 	1	0.999	6	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	846432	846432	846432	3	3	3	1392619	1392619	1392619	7	7	7	1535104	1535104	1535104	
680	a	sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	35	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form "	1	0.999	6	25	25	25	3	3	3	1541414	1541414	1541414	7	7	7	8451271	8451271	8451271	3	3	3	2208574	2208574	2208574	2	2	2	1136428	1136428	1136428	3	3	3	1636975	1636975	1636975	7	7	7	4652373	4652373	4652373	sp|Q13765|NACA_HUMAN
784	a	sp|P62873|GBB1_HUMAN	P62873	GBB1_HUMAN	GNB1	340	6	Homo sapiens OX=9606	1:Experimental evidence at protein level	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 	1	0.999	2	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	830388	830388	830388	1	1	1	557260	557260	557260	1	1	1	360288	360288	360288	"sp|P62879|GBB2_HUMAN, sp|Q9HAV0|GBB4_HUMAN"
849	a	sp|Q99496|RING2_HUMAN	Q99496	RING2_HUMAN	RNF2	336	8	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase RING2 	1	0.999	2	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	815528	815528	815528	1	1	1	310485	310485	310485	1	1	1	369424	369424	369424	
359	a	sp|Q12768|WASC5_HUMAN	Q12768	WASC5_HUMAN	WASHC5	1159	6	Homo sapiens OX=9606	1:Experimental evidence at protein level	WASH complex subunit 5 	1	0.9989	7	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	776773	776773	776773	1	1	1	269821	269821	269821	3	3	3	1119114	1119114	1119114	
426	a	sp|Q4VCS5|AMOT_HUMAN	Q4VCS5	AMOT_HUMAN	AMOT	1084	14	Homo sapiens OX=9606	1:Experimental evidence at protein level	Angiomotin 	1	0.999	9	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	731504	731504	731504	2	2	2	352641	352641	352641	2	2	2	1021347	1021347	1021347	
685	a	sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	1029	43	Homo sapiens OX=9606	1:Experimental evidence at protein level	U2 snRNP-associated SURP motif-containing protein 	1	0.999	38	128	127	128	20	20	20	5582692	5582692	5582692	16	16	16	9104396	9104396	9104396	18	18	18	6003272	6003272	6003272	25	25	25	8063813	8063813	8063813	25	24	25	5507824	5507824	5507824	24	24	24	8640774	8640774	8640774	
685	b	sp|Q13242|SRSF9_HUMAN	Q13242	SRSF9_HUMAN	SRSF9	221	50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 9 	1	0.999	13	19	15	15	1	1	1	230027	230027	230027	13	12	12	6096669	5547955	5547955	0	0	0	0	0	0	3	2	2	2179009	1023315	1023315	1	0	0	1344163	0	0	1	0	0	1000134	0	0	
686	b	sp|O60231|DHX16_HUMAN	O60231	DHX16_HUMAN	DHX16	1041	4	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 	0.9989	0.999	3	2	1	1	0	0	0	0	0	0	1	0	0	677865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	
686	a	sp|O43143|DHX15_HUMAN	O43143	DHX15_HUMAN	DHX15	795	13	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 	1	0.999	10	10	9	10	2	2	2	199634	199634	199634	4	3	4	1702647	1472082	1702647	0	0	0	0	0	0	4	4	4	5367879	5367879	5367879	0	0	0	0	0	0	0	0	0	0	0	0	
